0.06,775
0.06,1093
0.06,554
0.06,547
0.06,1053
0.06,972
0.06,1033
0.06,1027
0.06,894
0.06,551
0.06,491
0.06,814
0.06,946
0.06,960
0.06,858
0.06,401
0.06,959
0.06,333
0.06,737
0.06,1127
0.06,969
0.06,984
0.06,738
0.06,1055
0.06,882
0.06,1141
0.06,132
0.06,909
0.06,1001
0.06,790
0.06,1039
0.06,1126
0.06,495
0.06,1061
0.06,862
0.06,936
0.06,884
0.06,929
0.06,869
0.06,315
0.06,124
0.06,1002
0.06,1014
0.06,1099
0.06,1125
0.06,1140
0.06,1104
0.06,607
0.06,804
0.06,314
0.06,363
0.06,391
0.06,833
0.06,937
0.06,463
0.06,1086
0.06,1165
0.06,1024
0.06,939
0.06,955
0.06,906
0.06,1118
0.06,1100
0.06,1015
0.06,573
0.06,1097
0.06,846
0.06,437
0.06,965
0.06,1049
0.06,645
0.06,831
0.06,1099
0.06,543
0.06,612
0.06,1076
0.06,93
0.06,620
0.06,923
0.06,966
0.06,1064
0.06,1122
0.06,973
0.06,1017
0.06,974
0.06,692
0.06,332
0.06,1146
0.06,791
0.06,810
0.06,1216
0.06,929
0.06,1051
0.06,1077
0.06,665
0.06,720
0.06,1115
0.06,302
0.06,462
0.06,892
0.06,51
0.06,1068
0.06,1087
0.06,1001
0.06,1074
0.06,1163
0.06,962
0.06,1112
0.06,987
0.06,924
0.06,602
0.06,1137
0.06,833
0.06,863
0.06,964
0.06,568
0.06,1106
0.06,183
0.06,1079
0.06,865
0.06,842
0.06,1140
0.06,1037
0.06,575
0.06,1035
0.06,430
0.06,852
0.06,819
0.06,1132
0.06,582
0.06,960
0.06,1155
0.06,1153
0.06,203
0.06,977
0.06,561
0.06,1089
0.06,938
0.06,955
0.06,457
0.06,1042
0.06,844
0.06,1120
0.06,1047
0.06,933
0.06,616
0.06,1140
0.06,711
0.06,957
0.06,994
0.06,905
0.06,867
0.06,1004
0.06,1081
0.06,658
0.06,977
0.06,1032
0.06,1108
0.06,864
0.06,1000
0.06,447
0.06,855
0.06,1091
0.06,1047
0.06,856
0.06,1060
0.06,911
0.06,1004
0.06,995
0.06,250
0.06,936
0.06,1056
0.06,1053
0.06,1182
0.06,1081
0.06,676
0.06,32
0.06,695
0.06,1180
0.06,68
0.06,1192
0.06,1035
0.06,1011
0.06,1116
0.06,704
0.06,888
